step,name,nu,kappa,rho,bar,delta,source,candidates
1,Universe,1,2,0.5000,0.5000,1,ENUM,674
2,Unit,1,1,1.0000,0.5000,1,REF,506
3,Witness,2,1,2.0000,1.3333,2,ENUM,527
4,Pi,5,3,1.6667,1.5000,3,ENUM,698
5,S1,7,3,2.3333,2.1429,5,ENUM,1463
6,Trunc,8,3,2.6667,2.5600,8,ENUM,1479
7,S2,10,3,3.3333,3.0000,13,ENUM,1495
8,S3,18,5,3.6000,3.4327,21,ENUM,1479
9,Hopf,17,4,4.2500,4.0091,34,ENUM,1463
10,Cohesion,19,4,4.7500,4.4647,55,REF,1479
11,Connections,26,5,5.2000,4.9103,89,ENUM,1767
12,Curvature,34,6,5.6667,5.4250,144,ENUM,1775
13,Metric,43,7,6.1429,5.9868,233,ENUM,1767
14,Hilbert,60,9,6.6667,6.5754,377,REF,1775
15,DCT,105,8,13.1250,7.2523,610,REF,1937
