step,name,nu,kappa,rho,bar,delta,source,candidates
1,Universe,1,2,0.5000,0.5000,1,ENUM,1573
2,Unit,1,1,1.0000,0.5000,1,REF,1262
3,Witness,2,1,2.0000,1.3333,2,ENUM,1331
4,Pi,5,3,1.6667,1.5000,3,REF,1341
5,S1,7,3,2.3333,2.1429,5,REF,1351
6,Trunc,8,3,2.6667,2.5600,8,REF,1361
7,S2,10,3,3.3333,3.0000,13,REF,1371
8,S3,18,5,3.6000,3.4327,21,REF,1349
9,Hopf,17,4,4.2500,4.0091,34,REF,1333
10,Cohesion,19,4,4.7500,4.4647,55,REF,1345
11,Connections,30,5,6.0000,4.9103,89,REF,1629
12,Curvature,52,8,6.5000,5.6153,144,MCTS,1631
13,Metric,50,7,7.1429,6.5493,233,REF,1610
14,Hilbert,78,9,8.6667,7.2646,377,REF,1619
15,DCT,103,8,12.8750,8.3134,610,REF,1766
