step,name,nu,kappa,rho,bar,delta,source,candidates,k_desugar,k_entry,k_bitcost
1,candidate,11,1,11.0000,0.5000,1,ENUM,1573,1,1,9
2,candidate,12,1,12.0000,0.5000,1,ENUM,1263,1,1,9
3,Witness,2,1,2.0000,23.0000,2,REF,1332,1,1,12
4,candidate,14,1,14.0000,12.5000,3,ENUM,1342,1,1,9
5,candidate,7,3,2.3333,16.2500,5,REF,1352,3,3,21
6,candidate,16,1,16.0000,10.5143,8,ENUM,1362,1,1,9
7,candidate,17,1,17.0000,12.5938,13,ENUM,1372,1,1,9
8,candidate,18,1,18.0000,14.1795,21,ENUM,1350,1,1,9
9,candidate,19,1,19.0000,15.7048,34,ENUM,1328,1,1,9
10,candidate,20,1,20.0000,17.0588,55,ENUM,1338,1,1,9
11,candidate,21,1,21.0000,18.3394,89,ENUM,1332,1,1,9
12,candidate,22,1,22.0000,19.5402,144,ENUM,1326,1,1,9
13,candidate,23,1,23.0000,20.6880,233,ENUM,1314,1,1,9
14,candidate,24,1,24.0000,21.7894,377,ENUM,1312,1,1,9
15,candidate,25,1,25.0000,22.8548,610,ENUM,1300,1,1,9
