step,name,nu,kappa,rho,bar,delta,source,candidates,k_desugar,k_entry,k_bitcost
1,Universe,1,2,0.5000,0.5000,1,ENUM,1573,2,2,14
2,candidate,1,2,0.5000,0.5000,1,ENUM,1262,2,2,14
3,candidate,2,2,1.0000,1.0000,2,ENUM,1331,2,2,17
4,candidate,2,2,1.0000,1.0000,3,ENUM,1341,2,2,17
5,Susp_candidate,5,4,1.2500,1.2500,5,ENUM,1351,4,1,13
6,candidate,9,5,1.8000,1.4667,8,ENUM,1361,5,2,20
7,Witness,2,1,2.0000,1.9118,13,ENUM,1371,1,1,18
8,candidate,2,1,2.0000,1.9744,21,ENUM,1349,1,1,6
9,Axiom_7,7,3,2.3333,2.0451,34,ENUM,1337,3,3,22
10,Axiom_8,7,3,2.3333,2.2794,55,ENUM,1347,3,3,24
11,candidate,5,2,2.5000,2.4596,89,ENUM,1341,2,2,33
12,candidate,6,2,3.0000,2.5768,144,ENUM,1335,2,2,23
13,candidate,6,2,3.0000,2.7340,233,ENUM,1315,2,2,23
14,candidate,6,2,3.0000,2.8707,377,ENUM,1313,2,2,23
15,candidate,6,2,3.0000,2.9909,610,ENUM,1301,2,2,23
