step,name,nu,kappa,rho,bar,delta,source,candidates,k_desugar,k_entry,k_bitcost
1,Universe,1,2,0.5000,0.5000,1,ENUM,1573,2,2,14
2,Unit,1,1,1.0000,0.5000,1,REF,1262,1,1,10
3,Witness,2,1,2.0000,0.6667,1,ENUM,1331,1,1,14
4,candidate,6,2,3.0000,3.0000,3,ENUM,1341,2,2,19
5,candidate,6,2,3.0000,2.7778,5,ENUM,1351,2,2,21
6,Axiom_4,11,3,3.6667,3.6000,9,ENUM,1361,3,3,22
7,candidate,14,3,4.6667,4.6364,17,ENUM,1371,3,3,28
8,candidate,11,2,5.5000,5.3403,31,ENUM,1349,2,2,15
9,candidate,12,2,6.0000,5.9758,57,ENUM,1327,2,2,15
10,candidate,14,2,7.0000,6.5497,105,ENUM,1337,2,2,25
11,candidate,15,2,7.5000,7.1686,193,ENUM,1331,2,2,19
12,candidate,24,3,8.0000,7.7756,355,ENUM,1325,3,3,28
13,Axiom_12,28,3,9.3333,8.6086,653,ENUM,1313,3,3,31
14,candidate,29,3,9.6667,9.5244,1201,ENUM,1311,3,3,24
15,candidate,21,2,10.5000,10.3238,2209,ENUM,1299,2,2,19
